name,type,english,placeholders,spanish,hindi,marathi
badge_across_depths,string,Across the Depths,,present,present,present
badge_across_depths_description,string,Discover life throughout the depths of The Blue.,,present,present,present
badge_action_open_blue,string,Open Blue region,,present,present,present
badge_action_open_stillwater,string,Visit Stillwater vessel,,present,present,present
badge_action_view_chest,string,View in Chest,,present,present,present
badge_category_all,string,All,,present,present,present
badge_category_arc,string,Arc,,present,present,present
badge_category_collections,string,Collections,,present,present,present
badge_category_creatures,string,Creatures,,present,present,present
badge_category_flow,string,Flow,,present,present,present
badge_category_mastery,string,Mastery,,present,present,present
badge_category_movement,string,Movement,,present,present,present
badge_category_special,string,Special,,present,present,present
badge_category_stillwater,string,Stillwater,,present,present,present
badge_category_surge,string,Surge,,present,present,present
badge_collection_progress_title,string,Collection Progress,,present,present,present
badge_collector_description,string,Discover every participating species in %1$s.,%1$s,present,present,present
badge_collector_title,string,%1$s Collector,%1$s,present,present,present
badge_completionist_description,string,Raise every participating species in %1$s to Level 99.,%1$s,present,present,present
badge_completionist_title,string,%1$s Completionist,%1$s,present,present,present
badge_count_a11y,string,%1$s badge. %2$s. Completed %3$s times. %4$d remaining.%5$s%6$s,%1$s %2$s %3$s %4$d %5$s %6$s,present,present,present
badge_count_plate,string,×%1$s,%1$s,present,present,present
badge_creature_fallback,string,Creature,,present,present,present
badge_curator_description,string,Own every participating species in %1$s at the same time.,%1$s,present,present,present
badge_curator_title,string,%1$s Curator,%1$s,present,present,present
badge_current_milestone,string,Current milestone: %1$d,%1$d,present,present,present
badge_disabled_complete,string,This achievement is complete.,,present,present,present
badge_disabled_empty_roster,string,No participating creatures are currently available.,,present,present,present
badge_disabled_historical,string,This historical badge has no repeatable current objective.,,present,present,present
badge_disabled_no_next,string,You have completed every currently available milestone.,,present,present,present
badge_disabled_not_owned,string,Acquire this creature to begin its Mastery goal.,,present,present,present
badge_disabled_region_locked,string,This Blue region has not been unlocked yet.,,present,present,present
badge_disabled_vessel_locked,string,This Stillwater vessel has not been unlocked yet.,,present,present,present
badge_earned,string,Earned,,present,present,present
badge_every_water,string,One from Every Water,,present,present,present
badge_every_water_description,string,Master at least one participating creature from every Blue region and every Stillwater vessel.,,present,present,present
badge_exact_count,string,Exact count: %1$s,%1$s,present,present,present
badge_first_earned,string,First earned: %1$s,%1$s,present,present,present
badge_first_mastery,string,First Mastery,,present,present,present
badge_first_mastery_description,string,Reach Level 99 with any creature.,,present,present,present
badge_keeper_blue,string,Keeper of The Blue,,present,present,present
badge_keeper_blue_description,string,Complete the Collector roster in every region of The Blue.,,present,present,present
badge_last_advanced,string,Last advanced: %1$s,%1$s,present,present,present
badge_locked,string,Locked,,present,present,present
